Date,Open,High,Low,Close,Volume
2018-01-01,10476.75,10501.40,10472.62,10487.01,714947
2018-01-02,10480.46,10535.39,10223.86,10379.63,562489
2018-01-03,10384.71,10488.52,10384.71,10454.98,1862906
2018-01-04,10436.43,10504.18,10339.63,10421.90,513628
2018-01-05,10403.38,10478.65,10381.14,10429.89,951545
2018-01-08,10396.24,10557.45,10396.24,10537.33,1221327
2018-01-09,10540.38,10540.38,10278.60,10369.17,1293844
2018-01-10,10401.14,10492.33,10401.14,10459.47,1258403
2018-01-11,10436.70,10436.70,10240.22,10299.86,1106890
2018-01-12,10289.98,10547.84,10289.98,10532.60,1450870
2018-01-15,10508.12,10521.47,10402.33,10461.90,1059893
2018-01-16,10473.20,10532.07,10292.73,10412.40,1620172
2018-01-17,10453.18,10456.23,10358.39,10407.31,1842176
2018-01-18,10429.65,10433.66,10326.26,10379.96,617310
2018-01-19,10360.67,10408.91,10360.67,10388.03,942463
2018-01-22,10364.14,10578.55,10364.14,10522.44,1546963
2018-01-23,10502.65,10502.65,10206.12,10316.87,1017215
2018-01-24,10310.96,10418.23,10214.53,10316.38,1723757
2018-01-25,10317.17,10317.17,10220.22,10254.06,690650
2018-01-26,10226.17,10428.33,10104.71,10266.52,1927072
2018-01-29,10307.27,10307.27,10219.54,10233.36,1609633
2018-01-30,10248.12,10339.25,10132.98,10236.11,740232
2018-01-31,10247.66,10271.44,10089.07,10180.26,733941
2018-02-01,10218.69,10218.69,10090.88,10136.34,874660
2018-02-02,10164.05,10164.05,10084.07,10085.90,1564646
2018-02-05,10089.08,10089.08,10009.86,10038.88,1612232
2018-02-06,10007.71,10230.51,10007.71,10177.00,1261225
2018-02-07,10141.01,10445.58,10141.01,10338.63,1689833
2018-02-08,10303.00,10401.03,10303.00,10389.62,1617165
2018-02-09,10393.76,10442.93,10356.81,10399.87,1055864
2018-02-12,10435.56,10435.56,10226.13,10245.35,1946757
2018-02-13,10257.64,10346.98,10212.53,10279.75,1418762
2018-02-14,10243.90,10440.28,10243.90,10387.00,544112
2018-02-15,10351.35,10351.35,10287.52,10318.72,1823518
2018-02-16,10304.72,10374.68,10304.72,10363.57,1578263
2018-02-19,10333.09,10503.01,10258.67,10380.84,1697564
2018-02-20,10373.12,10373.12,10278.88,10307.01,697815
2018-02-21,10304.29,10463.12,10304.29,10412.90,613605
2018-02-22,10404.79,10467.40,10051.76,10259.58,1211569
2018-02-23,10262.56,10318.44,10243.86,10281.15,793983
2018-02-26,10315.96,10315.96,10171.30,10202.15,1429312
2018-02-27,10214.56,10437.57,10137.21,10287.39,1633695
2018-02-28,10316.09,10637.14,10262.24,10449.69,848779
2018-03-01,10483.33,10483.33,10288.69,10340.86,845269
2018-03-02,10364.36,10364.36,9937.64,10098.14,1454221
2018-03-05,10121.03,10183.65,9942.95,10063.30,1888044
2018-03-06,10101.04,10101.04,10008.87,10054.24,1714629
2018-03-07,10018.06,10082.81,10018.06,10054.62,1499897
2018-03-08,10091.68,10091.68,9832.76,9835.50,668005
2018-03-09,9863.97,9888.10,9840.67,9864.39,1346778
2018-03-12,9871.84,10154.43,9871.84,10039.83,1798937
2018-03-13,10025.08,10247.13,10025.08,10188.81,1046865
2018-03-14,10180.32,10368.60,10121.07,10244.83,1908636
2018-03-15,10280.54,10280.54,10099.82,10170.51,519535
2018-03-16,10135.79,10135.79,9701.48,9773.80,947016
2018-03-19,9740.08,9740.08,9717.12,9718.64,1012301
2018-03-20,9734.46,9734.46,9645.53,9678.43,1782781
2018-03-21,9691.43,9894.75,9691.43,9880.34,1663085
2018-03-22,9851.43,9943.47,9724.10,9833.79,742071
2018-03-23,9816.62,10062.32,9816.62,9978.99,941722
2018-03-26,9960.14,10019.80,9915.23,9967.52,1524525
2018-03-27,9978.22,10142.65,9796.81,9969.73,1080240
2018-03-28,10008.00,10091.34,10008.00,10071.65,838861
2018-03-29,10032.14,10168.74,9966.61,10067.68,657797
2018-03-30,10030.31,10278.45,10030.31,10236.31,1274302
